iter	Passed	Remaining
0	2	266
1	5	260
2	7	243
3	9	226
4	11	218
5	13	219
6	16	216
7	18	215
8	21	215
9	23	212
10	26	210
11	28	208
12	30	205
13	32	202
14	35	199
15	37	196
16	39	193
17	41	188
18	43	185
19	45	180
20	46	175
21	48	172
22	50	167
23	52	166
24	54	164
25	56	161
26	58	158
27	60	155
28	62	153
29	65	152
30	67	150
31	69	148
32	71	145
33	73	143
34	76	142
35	78	139
36	81	138
37	83	136
38	85	134
39	87	131
40	89	128
41	90	124
42	91	121
43	92	118
44	94	115
45	96	112
46	97	110
47	99	107
48	100	104
49	101	101
50	102	98
51	104	96
52	106	94
53	109	93
54	110	90
55	112	88
56	114	86
57	116	84
58	118	82
59	120	80
60	123	78
61	125	76
62	128	75
63	130	73
64	132	71
65	134	69
66	135	66
67	138	65
68	139	62
69	141	60
70	142	58
71	144	56
72	145	53
73	147	51
74	149	49
75	151	47
76	153	45
77	154	43
78	155	41
79	156	39
80	158	37
81	159	34
82	160	32
83	162	31
84	165	29
85	167	27
86	169	25
87	172	23
88	174	21
89	176	19
90	178	17
91	180	15
92	182	13
93	185	11
94	187	9
95	188	7
96	190	5
97	192	3
98	193	1
99	194	0
